Player ID,First Name,Last Name,Position,Salary ($),Games Played,Total Points,Average Points
992468,Rowan,Marshall,Ruck,1201000,23,2693,117.1
1004965,Tristan,Xerri,Ruck,1175000,23,2633,114.5
1023518,Harry,Sheezel,Defender,1151000,21,2355,112.1
290528,Max,Gawn,Ruck,1147000,21,2347,111.8
294305,Lachie,Whitfield,Defender,1146000,23,2569,111.7
261224,Dayne,Zorko,Defender,1131000,23,2536,110.3
291790,Adam,Treloar,Midfielder,1129000,22,2420,110
992016,Zach,Merrett,Midfielder,1116000,23,2503,108.8
1013128,Errol,Gulden,Midfielder,1113000,23,2495,108.5
1009260,Sam,Flanders,Defender / Midfielder,1106000,22,2371,107.8
993834,Josh,Dunkley,Midfielder,1102000,23,2471,107.4
297373,Marcus,Bontempelli,Midfielder,1101000,23,2469,107.3
1026850,Nic,Martin,Defender,1100000,23,2466,107.2
296205,Jack,Steele,Midfielder,1094000,23,2452,106.6
1006121,Zak,Butters,Midfielder,1089000,23,2441,106.1
1006094,Sam,Walsh,Midfielder,1089000,19,2016,106.1
992242,Jordan,Dawson,Midfielder,1080000,22,2316,105.3
298539,Isaac,Heeney,Midfielder,1079000,21,2209,105.2
1004592,Tim,English,Ruck,1074000,22,2302,104.6
1023261,Nick,Daicos,Midfielder,1074000,23,2408,104.7
1002232,Andrew,Brayshaw,Midfielder,1073000,23,2406,104.6
1009199,Noah,Anderson,Midfielder,1067000,23,2390,103.9
1009420,Caleb,Serong,Midfielder,1067000,23,2390,103.9
297907,Nic,Newman,Defender,1052000,23,2359,102.6
998659,Luke,Ryan,Defender,1048000,23,2349,102.1
297401,Matt,Crouch,Midfielder,1046000,15,1529,101.9
994389,Jack,Sinclair,Defender / Midfielder,1046000,22,2242,101.9
293535,Lachie,Neale,Midfielder,1038000,22,2221,101
298174,Toby,Nankervis,Ruck,1032000,21,2112,100.6
990704,Patrick,Cripps,Midfielder,1026000,23,2301,100
1009528,Tom,Green,Midfielder,1025000,23,2298,99.9
293222,Rory,Laird,Midfielder,1019000,23,2285,99.3
1015507,Nasiah,Wanganeen-Milera,Defender,1003000,22,2150,97.7
1000978,Hugh,McCluggage,Midfielder,999000,23,2239,97.3
293957,Brodie,Grundy,Ruck,997000,23,2234,97.1
1001299,Connor,Rozee,Midfielder,996000,20,1941,97.1
1006152,Jordan,Clark,Defender,994000,23,2228,96.9
291975,Jarrod,Witts,Ruck,988000,16,1541,96.3
990291,Darcy,Cameron,Ruck,987000,23,2212,96.2
1002267,Luke,Davies-Uniacke,Midfielder,984000,23,2205,95.9
998172,Tim,Taranto,Midfielder,980000,15,1433,95.5
296347,Josh,Kelly,Midfielder,977000,15,1428,95.2
1005054,Josh,Daicos,Midfielder,973000,23,2181,94.8
1015889,Max,Holmes,Defender / Midfielder,969000,23,2173,94.5
1006103,Jye,Caldwell,Midfielder,969000,23,2170,94.3
994295,Dan,Houston,Defender,964000,22,2068,94
1009208,Matt,Rowell,Midfielder,962000,23,2156,93.7
1012014,Chad,Warner,Midfielder,961000,22,2061,93.7
298272,Touk,Miller,Midfielder,955000,18,1675,93.1
1009256,Hayden,Young,Midfielder,953000,23,2137,92.9
996708,Bailey,Dale,Defender,950000,23,2130,92.6
1006314,Dylan,Moore,Forward,944000,23,2116,92
993817,Darcy,Parish,Midfielder,940000,12,1099,91.6
1008436,Kieren,Briggs,Ruck,938000,22,2012,91.5
297523,Reilly,O'Brien,Ruck,934000,21,1911,91
292128,Elliot,Yeo,Midfielder,933000,20,1818,90.9
294318,Ollie,Wines,Midfielder,930000,22,1997,90.8
298210,Christian,Petracca,Midfielder,923000,13,1173,90.2
1011640,Jason,Horne-Francis,Midfielder / Forward,919000,21,1880,89.5
298268,Liam,Duggan,Defender,910000,21,1863,88.7
296294,Blake,Acres,Midfielder,909000,22,1949,88.6
1000980,Lloyd,Meek,Ruck,907000,19,1679,88.4
1004912,Tom,De Koning,Ruck,900000,17,1492,87.8
291800,Tom,Stewart,Defender,899000,22,1928,87.6
290799,Tom,Liberatore,Midfielder,898000,17,1488,87.5
291902,Jack,Viney,Midfielder,897000,23,2010,87.4
297566,James,Sicily,Defender,896000,20,1747,87.4
297354,Karl,Amon,Defender,892000,23,2000,87
1008280,Ed,Richards,Midfielder,882000,20,1720,86
295898,Tim,Kelly,Midfielder,881000,20,1718,85.9
1002251,Brent,Daniels,Forward,881000,21,1803,85.9
1001026,Jordan,Ridley,Defender,880000,9,796,88.4
1020895,Jai,Newcombe,Midfielder,880000,23,1973,85.8
1005521,Oscar,McInerney,Ruck,879000,22,1884,85.6
1000972,Willem,Drew,Midfielder,876000,23,1963,85.3
1006136,Lachlan,Sholl,Midfielder,875000,20,1706,85.3
1004938,Gryan,Miers,Forward,874000,23,1959,85.2
1006126,James,Rowbottom,Midfielder,869000,21,1778,84.7
998133,Jarrod,Berry,Midfielder,865000,23,1944,84.5
296296,Dom,Sheed,Midfielder,864000,8,357,44.6
998102,Andrew,McGrath,Defender,864000,23,1937,84.2
293845,Jeremy,Cameron,Forward,862000,22,1848,84
997078,Mason,Redman,Defender,860000,21,1761,83.9
1000981,Daniel,Rioli,Defender,857000,23,1921,83.5
293871,Jack,Crisp,Midfielder,852000,23,1911,83.1
294036,George,Hewett,Midfielder,852000,21,1744,83
1015810,Sam,Durham,Midfielder,851000,22,1825,83
1004863,Mitchell,Hinge,Defender,849000,22,1820,82.7
