Player ID,First Name,Last Name,Primary Position,Secondary Position,Salary ($),Total Points,Average Points
992468,Rowan,Marshall,RUC,,1201000,2693,117.1
1004965,Tristan,Xerri,RUC,,1175000,2633,114.5
1023518,Harry,Sheezel,DEF,,1151000,2355,112.1
290528,Max,Gawn,RUC,,1147000,2347,111.8
294305,Lachie,Whitfield,DEF,,1146000,2569,111.7
261224,Dayne,Zorko,DEF,,1131000,2536,110.3
291790,Adam,Treloar,MID,,1129000,2420,110.0
992016,Zach,Merrett,MID,,1116000,2503,108.8
1013128,Errol,Gulden,MID,,1113000,2495,108.5
1009260,Sam,Flanders,DEF,MID,1106000,2371,107.8
993834,Josh,Dunkley,MID,,1102000,2471,107.4
297373,Marcus,Bontempelli,MID,,1101000,2469,107.3
296205,Jack,Steele,MID,,1094000,2452,106.6
1006121,Zak,Butters,MID,,1089000,2441,106.1
1006094,Sam,Walsh,MID,,1089000,2016,106.1
992242,Jordan,Dawson,MID,,1080000,2316,105.3
298539,Isaac,Heeney,MID,,1079000,2209,105.2
1004592,Tim,English,RUC,,1074000,2302,104.6
1023261,Nick,Daicos,MID,,1074000,2408,104.7
1002232,Andrew,Brayshaw,MID,,1073000,2406,104.6
1009199,Noah,Anderson,MID,,1067000,2390,103.9
1009420,Caleb,Serong,MID,,1067000,2390,103.9
297907,Nic,Newman,DEF,,1052000,2359,102.6
998659,Luke,Ryan,DEF,,1048000,2349,102.1
297401,Matt,Crouch,MID,,1046000,1529,101.9
994389,Jack,Sinclair,DEF,MID,1046000,2242,101.9
293535,Lachie,Neale,MID,,1038000,2221,101.0
298174,Toby,Nankervis,RUC,,1032000,2112,100.6
990704,Patrick,Cripps,MID,,1026000,2301,100.0
1009528,Tom,Green,MID,,1025000,2298,99.9
293222,Rory,Laird,MID,,1019000,2285,99.3
1015507,Nasiah,Wanganeen-Milera,DEF,,1003000,2150,97.7
1000978,Hugh,McCluggage,MID,,999000,2239,97.3
293957,Brodie,Grundy,RUC,,997000,2234,97.1
1001299,Connor,Rozee,MID,,996000,1941,97.1
1006152,Jordan,Clark,DEF,,994000,2228,96.9
291975,Jarrod,Witts,RUC,,988000,1541,96.3
990291,Darcy,Cameron,RUC,,987000,2212,96.2
1002267,Luke,Davies-Uniacke,MID,,984000,2205,95.9
998172,Tim,Taranto,MID,,980000,1433,95.5
296347,Josh,Kelly,MID,,977000,1428,95.2
1005054,Josh,Daicos,MID,,973000,2181,94.8
1015889,Max,Holmes,DEF,MID,969000,2173,94.5
1006103,Jye,Caldwell,MID,,969000,2170,94.3
994295,Dan,Houston,DEF,,964000,2068,94.0
1009208,Matt,Rowell,MID,,962000,2156,93.7
1012014,Chad,Warner,MID,,961000,2061,93.7
298272,Touk,Miller,MID,,955000,1675,93.1
1009256,Hayden,Young,MID,,953000,2137,92.9
996708,Bailey,Dale,DEF,,950000,2130,92.6
1006314,Dylan,Moore,FWD,,944000,2116,92.0
993817,Darcy,Parish,MID,,940000,1099,91.6
1008436,Kieren,Briggs,RUC,,938000,2012,91.5
297523,Reilly,O'Brien,RUC,,934000,1911,91.0
292128,Elliot,Yeo,MID,,933000,1818,90.9
294318,Ollie,Wines,MID,,930000,1997,90.8
298210,Christian,Petracca,MID,,923000,1173,90.2
1011640,Jason,Horne-Francis,MID,FWD,919000,1880,89.5
298268,Liam,Duggan,DEF,,910000,1863,88.7
296294,Blake,Acres,MID,,909000,1949,88.6
1000980,Lloyd,Meek,RUC,,907000,1679,88.4
1004912,Tom,De Koning,RUC,,900000,1492,87.8
